"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"14","lm13",3,432.245421080566,0,1,0.677339092084087,-212.622710540283,0.677339092084087
"12","lm11",4,434.831263856945,2.58584277637897,0.27446778378257,0.185907759473618,-212.546066711081,0.863246851557705
"10","lm9",3,437.384950751886,5.13952967131991,0.0765535459714017,0.0518527093240867,-215.192475375943,0.915099560881792
"13","lm12",6,437.445025633095,5.19960455252891,0.0742882653156171,0.0503183461813819,-210.722512816547,0.965417907063174
"16","lm15",3,439.862749585494,7.61732850492831,0.0221777830999314,0.0150218794693454,-216.431374792747,0.980439786532519
"15","lm14",10,440.811084714189,8.56566363362384,0.0138035176543506,0.00934966211556453,-203.934954121801,0.989789448648084
"9","lm8",3,441.05960662019,8.81418553962442,0.0121905676488159,0.00825714802323863,-217.029803310095,0.998046596671322
"3","lm2",3,445.008778790962,12.7633577103965,0.00169227947819802,0.00114624704531518,-219.004389395481,0.999192843716637
"11","lm10",3,447.321996958106,15.0765758775399,0.000532308186312964,0.00036055314362615,-220.160998479053,0.999553396860264
"4","lm3",4,447.433044661861,15.1876235812953,0.00050355793360478,0.000341079473559601,-218.846957113539,0.999894476333823
"6","lm5",3,451.064717891976,18.8192968114107,8.19297483200476e-05,5.54942213417788e-05,-222.032358945988,0.999949970555165
"5","lm4",6,452.926805105839,20.6813840252731,3.22919684764016e-05,2.18726126094138e-05,-218.463402552919,0.999971843167774
"2","lm1",3,453.232026782275,20.9866057017092,2.77214839686026e-05,1.87768447825169e-05,-223.116013391137,0.999990620012557
"7","lm6",10,454.934824884116,22.6894038035505,1.18320110130004e-05,8.01428359707464e-06,-210.996824206764,0.999998634296154
"1","lm0",2,460.09042158613,27.845000505564,8.9853493250884e-07,6.08612835391375e-07,-227.805210793065,0.999999242908989
"8","lm7",3,460.441198370071,28.1957772895057,7.53988557522787e-07,5.10705924994275e-07,-226.720599185036,0.999999753614914
"17","lm16",3,461.898994838758,29.6535737581927,3.63754415720589e-07,2.46385085685761e-07,-227.449497419379,1
