"","df","AICc","delta","weight"
"btw.lm5",3,432.245421080566,0,0.531669966540226
"btw.lm9",5,433.920413904146,1.67499282358017,0.23010288187303
"btw.lm3",4,434.831263856945,2.58584277637897,0.145926277420049
"btw.lm1",3,437.384950751886,5.13952967131991,0.0407012212251508
"btw.lm4",6,437.445025633095,5.19960455252891,0.0394968395346856
"btw.lm8",3,439.862749585494,7.61732850492831,0.0117912611986769
"btw.lm2",3,447.321996958106,15.0765758775399,0.000283012275606102
"btw.lm6",12,452.298876390527,20.0534553099614,0.0000235011782265138
"btw.lm7",3,455.913946663813,23.6685255832469,0.00000385555675437279
"btw.lm10",14,459.310749483707,27.0653284031411,0.000000705473557149976
"btw.lm0",2,460.09042158613,27.845000505564,0.000000477724037502199
