"","country","receiver_coef","receiver_pval","receiver_adjr2","receiver_nobs","mean_prop"
"223","United_States",0.76464149,0,0.8893,28,0.032
"150","Netherlands",0.05993432,0,0.5998,28,0.03
"104","Italy",0.28927203,0,0.661,28,0.029
"74","France",0.25506294,0,0.6166,28,0.027
"222","United_Kingdom",0.42200328,0,0.6949,28,0.026
"80","Germany",0.08839628,0.0002,0.389,24,0.025
"196","Spain",0.37931034,0,0.6139,28,0.024
"40","China",0.18691845,0,0.5715,28,0.023
"106","Japan",0.06923919,0,0.5262,28,0.021
"203","Switzerland",0.45046524,0,0.8193,28,0.021
"12","Austria",0.29447181,0,0.6969,28,0.019
"127","Malaysia",0.0741653,0.0039,0.2506,28,0.018
"170","Portugal",0.45019157,0,0.672,28,0.017
"57","Denmark",0.08237548,0.0018,0.292,28,0.016
"122","Luxembourg",0.44225506,0,0.8113,28,0.016
"73","Finland",0.09085933,0.0001,0.4127,28,0.014
"83","Greece",-0.03338807,0.0008,0.3317,28,0.014
"202","Sweden",0.05774494,0,0.5385,28,0.014
"98","Indonesia",0.23015873,0,0.6174,28,0.013
"169","Poland",0.26737822,0,0.6603,26,0.013
"174","Romania",-0.09961686,0.0001,0.4339,28,0.012
"175","Russian_Federation",0.54844007,0,0.8663,28,0.012
"102","Ireland",0.11412151,0.0006,0.3436,28,0.011
"168","Philippines",0.19868637,0,0.646,28,0.011
"19","Belgium",0.10946907,0,0.672,14,0.01
"53","Czech_Republic",0.13957307,0,0.4759,21,0.01
"208","Thailand",0.13847838,0,0.5213,28,0.01
"221","United_Arab_Emirates",0.33552271,0,0.8908,28,0.01
"11","Australia",0.03338807,0.0326,0.1317,28,0.009
"191","Slovakia",0.33524904,0,0.7395,21,0.009
"215","Turkey",0.15708812,0,0.4627,28,0.009
"27","Brazil",0.07471264,0,0.4599,28,0.007
"41","Colombia",0.72003284,0,0.8768,27,0.007
"103","Israel",0.33607006,0,0.762,27,0.007
"134","Mauritius",0.03420909,0.017,0.1695,28,0.007
"164","Panama",0.02134647,0.0077,0.2137,28,0.007
"192","Slovenia",0.54296661,0,0.9345,22,0.007
"39","Chile",0.01778872,0.0491,0.1077,27,0.006
"62","Egypt",0.07088123,0.0053,0.2342,28,0.006
"88","Guatemala",0.11083744,0,0.7213,28,0.006
"120","Libya",0.04980843,0.0234,0.1509,24,0.006
"220","Ukraine",0.09496442,0.0002,0.3881,22,0.006
"NA",NA,NA,NA,NA,NA,NA
"230","Viet_Nam",0.11494253,0.0001,0.4185,23,0.006
"47","Costa_Rica",0.02298851,0.0037,0.254,28,0.005
"52","Cyprus",0.05528188,0.0089,0.206,27,0.005
"96","Iceland",0.54816639,0,0.8062,28,0.005
"112","Kuwait",0.33743842,0,0.7415,24,0.005
"121","Lithuania",-0.11247947,0.0001,0.4147,20,0.005
"167","Peru",0.05336617,0.0105,0.1968,28,0.005
"197","Sri_Lanka",0.5270936,0,0.8884,26,0.005
"25","Bosnia_and_Herzegovina",0.05938697,0.0001,0.4174,21,0.004
"28","Brunei_Darussalam",0.06486043,0.0036,0.2544,28,0.004
"29","Bulgaria",0.15380405,0,0.699,23,0.004
"NA.1",NA,NA,NA,NA,NA,NA
"51","Cuba",0.32977559,0,0.7865,28,0.004
"63","El_Salvador",0.19157088,0,0.57,25,0.004
"66","Estonia",0.01970443,0.015,0.1764,20,0.004
"109","Kenya",0.20032841,0,0.7197,22,0.004
"145","Mozambique",0.16174056,0,0.5379,26,0.004
"166","Paraguay",0.09085933,0.0022,0.2812,27,0.004
"16","Bangladesh",0.14997263,0,0.5813,20,0.003
"NA.2",NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA
"105","Jamaica",0.83880679,0,0.8959,28,0.003
"107","Jordan",0.3226601,0,0.605,19,0.003
"117","Lebanon",0.20306513,0,0.7875,22,0.003
"130","Malta",0.04351396,0.0034,0.2583,22,0.003
"155","Nicaragua",0.17487685,0,0.6444,22,0.003
"173","Reunion",0.13765736,0,0.679,14,0.003
"NA.4",NA,NA,NA,NA,NA,NA
"204","Syrian_Arab_Republic",0.25916804,0,0.6516,20,0.003
"236","Zambia",-0.09359606,0.0001,0.4125,22,0.003
"NA.5",NA,NA,NA,NA,NA,NA
"14","Bahamas",0.14039409,0,0.6281,16,0.002
"17","Barbados",0.23097975,0,0.6281,23,0.002
"22","Bermuda",0.04625068,0.0004,0.3631,15,0.002
"34","Cameroon",0.0681445,0,0.4898,20,0.002
"36","Cayman_Islands",0.48412698,0,0.8091,20,0.002
"54","Czechoslovakia",0.49890531,0,0.8538,6,0.002
"72","Fiji",0.03420909,0.0084,0.2092,18,0.002
"77","Gabon",0.08237548,0,0.5841,21,0.002
"81","Ghana",0.98549535,0,0.861,14,0.002
"101","Iraq",0.23590586,0,0.7282,17,0.002
"108","Kazakhstan",0.21182266,0,0.6273,15,0.002
"NA.6",NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA
"126","Malawi",0.05446086,0.0026,0.2723,21,0.002
"128","Maldives",0.44581281,0,0.8709,19,0.002
"NA.8",NA,NA,NA,NA,NA,NA
"146","Myanmar",0.17898194,0,0.5835,20,0.002
"NA.9",NA,NA,NA,NA,NA,NA
"160","Oman",0.21921182,0.0001,0.439,16,0.002
"165","Papua_New_Guinea",0.08456486,0.0004,0.3593,21,0.002
"200","Suriname",0.106185,0.0058,0.2294,19,0.002
"NA.10",NA,NA,NA,NA,NA,NA
"226","Uzbekistan",0.08757526,0.0003,0.3723,19,0.002
"NA.11",NA,NA,NA,NA,NA,NA
"235","Yugoslavia",0.06048166,0.0009,0.3275,6,0.002
"1","Afghanistan",1,0,1,15,0.001
"2","Albania",0.0771757,0,0.5071,17,0.001
"9","Armenia",0.14176245,0,0.5794,13,0.001
"10","Aruba",0.07060755,0.0008,0.3294,8,0.001
"13","Azerbaijan",0.48549535,0,0.7979,16,0.001
"18","Belarus",0.04652436,0.0068,0.2205,15,0.001
"20","Belize",0.9168035,0,0.7948,15,0.001
"26","Botswana",0.25725233,0,0.7884,15,0.001
"31","Burundi",0.02818829,0.0085,0.2084,12,0.001
"32","Cabo_Verde",0.03968254,0.0114,0.192,18,0.001
"33","Cambodia",0.06650246,0,0.4646,18,0.001
"NA.12",NA,NA,NA,NA,NA,NA
"58","Djibouti",0.27312534,0,0.4988,11,0.001
"59","Dominica",0.04460865,0.0038,0.2528,8,0.001
"82","Gibraltar",0.12944718,0.0006,0.3434,8,0.001
"87","Guam",-0.01970443,0.015,0.1764,13,0.001
"92","Guyana",0.02380952,0.0179,0.1664,12,0.001
"113","Kyrgyzstan",0.15353038,0.0029,0.2664,13,0.001
"119","Liberia",0.02517789,0.0133,0.1831,10,0.001
"125","Madagascar",0.13519431,0,0.5314,14,0.001
"133","Mauritania",-0.03585112,0.0004,0.3608,9,0.001
"141","Mongolia",0.19923372,0,0.5552,9,0.001
"147","Namibia",0.06869184,0.0083,0.2095,11,0.001
"176","Rwanda",0.41789819,0,0.7238,16,0.001
"NA.13",NA,NA,NA,NA,NA,NA
"182","Saint_Vincent_and_the_Grenadines",0.03119869,0.0097,0.2009,8,0.001
"186","Senegal",0.25041051,0,0.4851,13,0.001
"188","Seychelles",0.21209633,0,0.6175,12,0.001
"189","Sierra_Leone",0.06923919,0.0001,0.4485,10,0.001
"201","Swaziland",0.03940887,0.0356,0.1265,11,0.001
"NA.14",NA,NA,NA,NA,NA,NA
"211","Togo",0.09003831,0.0003,0.3776,8,0.001
"214","Tunisia",0.05035577,0.0244,0.1486,13,0.001
"216","Turkmenistan",0.4499179,0,0.8763,10,0.001
"7","Antigua_and_Barbuda",0.22249589,0,0.6416,5,0
"30","Burkina_Faso",0.30322934,0,0.4967,4,0
"46","Cook_Islands",0.10837438,0.0046,0.2421,4,0
"64","Equatorial_Guinea",0.08456486,0.0149,0.177,5,0
"67","Ethiopia",0.3516694,0,0.833,8,0
"NA.15",NA,NA,NA,NA,NA,NA
"75","French_Guiana",0.58374384,0,0.8891,4,0
"84","Greenland",0.41160372,0,0.7869,8,0
"85","Grenada",0.04460865,0.0001,0.4272,9,0
"86","Guadeloupe",0.04351396,0.0044,0.2449,4,0
"89","Guinea",0.08839628,0.0052,0.2355,7,0
"NA.16",NA,NA,NA,NA,NA,NA
"129","Mali",0.09770115,0,0.4631,7,0
"NA.17",NA,NA,NA,NA,NA,NA
"142","Montenegro",0.07006021,0.0013,0.3083,4,0
"184","Sao_Tome_and_Principe",0.02271483,0.0246,0.148,5,0
"205","Tajikistan",0.16666667,0,0.6727,5,0
"212","Tonga",0.04187192,0.0064,0.2239,5,0
"44","Congo,_the_Democratic_Republic_of_the",0.07252326,0.0013,0.3095,22,NA
"49","Cote_d'Ivoire",0.07060755,0.0328,0.1313,11,NA
"56","Democratic_People's_Republic_of_Korea",-0.08182813,0.0433,0.1152,27,NA
"99","Iran,_Islamic_Republic_of",0.26491516,0,0.5788,18,NA
"115","Lao_People's_Democratic_Republic",0.04652436,0.0001,0.4178,22,NA
"123","Macedonia,_the_former_Yugoslav_Republic_of",-0.27941981,0.0001,0.4392,18,NA
"152","Netherlands_Antilles_(former)",0.51532567,0,0.7759,18,NA
"199","Sudan_(former)",0.07389163,0.0267,0.1433,23,NA
"206","Tanzania,_United_Republic_of",0.03448276,0.0016,0.2975,19,NA
"209","Timor-Leste",0.35112206,0,0.8501,7,NA
"231","Virgin_Islands,_British",0.5120416,0,0.828,15,NA
